run,scenario,monitor_mode,cgroup_limit_mb,calculation_aborted,calculation_elapsed_seconds,observer_callback_count,observer_sample_count,observer_callback_wall_ms,observer_max_callback_ms,observer_memory_read_ms,observer_logging_ms,observer_largest_sample_jump_mb,cgroup_peak_mb,sampled_working_set_peak_mb,cold_sankey_process_rss_mb,cold_sankey_cgroup_current_mb,cold_sankey_inactive_file_mb,cold_sankey_working_set_mb,post_gc_process_rss_mb,post_gc_working_set_mb,results_working_set_mb,between_requests_gc_working_set_mb
1,cold-sankey,off,4096.0,false,1.651,0,0,0,0,0,0,0,2666.8,2633.5,2657.9,2666.8,33.3,2633.5,2613.9,2589.4,,
1,cold-sankey,noop,4096.0,false,1.692,5132,0,0,0,0,0,0,2666.8,2633.5,2657.9,2666.8,33.3,2633.5,2613.9,2589.4,,
1,cold-sankey,observe,4096.0,false,1.684,5132,322,17.069,0.385,12.071,1.717,24.8,2666.9,2633.7,2657.8,2666.9,33.3,2633.7,2625.0,2600.8,,
1,results-then-sankey,off,4096.0,false,2.560,0,0,0,0,0,0,0,2666.7,2633.5,2658.1,2666.7,33.3,2633.5,2624.4,2599.7,852.7,623.4
1,results-then-sankey,noop,4096.0,false,2.450,10448,0,0,0,0,0,0,2666.7,2633.4,2658.1,2666.6,33.3,2633.4,2624.4,2599.6,852.3,731.1
1,results-then-sankey,observe,4096.0,false,2.488,10448,655,30.918,0.292,22.910,1.836,28.0,2666.7,2633.3,2658.0,2666.6,33.3,2633.3,2614.0,2589.6,852.9,729.2
2,cold-sankey,off,4096.0,false,1.677,0,0,0,0,0,0,0,2666.6,2633.3,2657.9,2666.6,33.3,2633.3,2613.8,2589.2,,
2,cold-sankey,noop,4096.0,false,1.707,5132,0,0,0,0,0,0,2666.9,2633.6,2658.1,2666.9,33.3,2633.6,2624.3,2599.7,,
2,cold-sankey,observe,4096.0,false,1.703,5132,322,17.608,0.293,12.667,1.736,24.8,2667.3,2633.7,2658.1,2667.3,33.6,2633.7,2625.2,2600.6,,
2,results-then-sankey,off,4096.0,false,2.439,0,0,0,0,0,0,0,2667.0,2633.4,2657.9,2667.0,33.6,2633.4,2625.1,2600.5,852.7,638.5
2,results-then-sankey,noop,4096.0,false,2.391,10448,0,0,0,0,0,0,2667.0,2633.8,2658.1,2667.0,33.2,2633.8,2658.2,2633.8,852.7,623.7
2,results-then-sankey,observe,4096.0,false,2.425,10448,655,29.289,0.288,21.777,1.618,27.8,2666.9,2633.6,2657.8,2666.9,33.3,2633.6,2624.6,2600.3,852.6,729.2
3,cold-sankey,off,4096.0,false,1.638,0,0,0,0,0,0,0,2666.7,2633.4,2658.1,2666.7,33.3,2633.4,2624.2,2599.4,,
3,cold-sankey,noop,4096.0,false,1.663,5132,0,0,0,0,0,0,2666.7,2633.2,2658.1,2666.5,33.3,2633.2,2658.1,2589.3,,
3,cold-sankey,observe,4096.0,false,1.663,5132,322,16.205,0.237,11.420,1.687,24.8,2666.7,2633.5,2658.0,2666.7,33.3,2633.5,2625.2,2600.6,,
3,results-then-sankey,off,4096.0,false,2.412,0,0,0,0,0,0,0,2666.8,2633.6,2658.1,2666.8,33.3,2633.6,2624.3,2600.0,853.1,623.6
3,results-then-sankey,noop,4096.0,false,2.402,10448,0,0,0,0,0,0,2667.0,2633.8,2657.9,2667.0,33.2,2633.8,2625.1,2600.8,852.3,623.5
3,results-then-sankey,observe,4096.0,false,2.432,10448,655,29.086,0.184,21.538,1.572,28.0,2667.5,2634.2,2658.2,2667.5,33.3,2634.2,2614.2,2590.1,853.8,622.8
1,cold-sankey,off,2926.0,false,1.611,0,0,0,0,0,0,0,2666.6,2633.4,2658.2,2666.6,33.3,2633.4,2625.3,2600.4,,
1,cold-sankey,noop,2926.0,false,1.652,5132,0,0,0,0,0,0,2666.7,2633.4,2657.7,2666.7,33.3,2633.4,2613.7,2589.3,,
1,cold-sankey,observe,2926.0,false,1.643,5132,787,26.049,0.288,20.889,1.647,24.8,2671.8,2634.2,2658.2,2671.8,37.5,2634.2,2624.2,2600.3,,
1,cold-sankey,enforce,2926.0,true,1.534,4463,744,28.715,0.366,23.664,1.525,24.8,2529.2,2495.9,2520.4,2529.2,33.3,2495.9,2491.4,2466.8,,
1,results-then-sankey,off,2926.0,false,2.393,0,0,0,0,0,0,0,2666.7,2633.3,2658.0,2666.6,33.3,2633.3,2624.2,2599.8,852.9,731.1
1,results-then-sankey,noop,2926.0,false,2.500,10448,0,0,0,0,0,0,2666.9,2633.6,2657.9,2666.9,33.3,2633.6,2625.0,2600.7,852.7,731.6
1,results-then-sankey,observe,2926.0,false,2.633,10448,1123,39.605,0.252,31.614,1.714,28.0,2667.5,2633.9,2657.9,2667.5,33.7,2633.9,2625.0,2600.9,853.2,638.2
1,results-then-sankey,enforce,2926.0,true,2.384,9779,1080,48.567,0.286,39.666,1.805,27.8,2529.1,2495.8,2520.6,2529.1,33.3,2495.8,2491.5,2466.6,852.4,637.1
2,cold-sankey,off,2926.0,false,1.672,0,0,0,0,0,0,0,2666.5,2633.3,2658.1,2666.5,33.3,2633.3,2625.4,2600.5,,
2,cold-sankey,noop,2926.0,false,1.642,5132,0,0,0,0,0,0,2666.7,2633.4,2658.2,2666.7,33.3,2633.4,2625.4,2600.4,,
2,cold-sankey,observe,2926.0,false,1.937,5132,787,40.167,0.423,32.983,1.952,24.5,2666.9,2633.6,2658.0,2666.8,33.3,2633.6,2625.2,2600.9,,
2,cold-sankey,enforce,2926.0,true,1.567,4463,744,31.171,0.297,25.613,1.743,24.8,2528.9,2495.7,2520.5,2528.9,33.3,2495.7,2491.4,2466.5,,
2,results-then-sankey,off,2926.0,false,2.401,0,0,0,0,0,0,0,2666.9,2633.6,2657.8,2666.9,33.2,2633.6,2613.8,2589.5,852.6,623.4
2,results-then-sankey,noop,2926.0,false,2.407,10448,0,0,0,0,0,0,2666.8,2633.6,2658.1,2666.8,33.2,2633.6,2625.2,2600.7,852.7,623.8
2,results-then-sankey,observe,2926.0,false,2.492,10448,1123,43.399,0.286,34.947,1.827,28.2,2667.1,2633.8,2658.1,2667.1,33.3,2633.8,2625.1,2600.8,852.4,620.4
2,results-then-sankey,enforce,2926.0,true,2.352,9779,1080,46.542,1.381,36.752,1.698,28.2,2529.0,2495.7,2520.6,2529.0,33.3,2495.7,2486.6,2461.7,852.9,622.4
3,cold-sankey,off,2926.0,false,1.669,0,0,0,0,0,0,0,2666.8,2633.6,2657.8,2666.8,33.3,2633.6,2625.0,2600.7,,
3,cold-sankey,noop,2926.0,false,1.690,5132,0,0,0,0,0,0,2669.2,2635.8,2658.0,2669.1,33.3,2635.8,2625.2,2603.0,,
3,cold-sankey,observe,2926.0,false,1.741,5132,787,30.351,0.258,24.278,1.864,24.8,2666.7,2633.5,2658.1,2666.7,33.3,2633.5,2625.1,2600.5,,
3,cold-sankey,enforce,2926.0,true,1.525,4463,744,26.816,0.282,21.721,1.634,24.8,2528.8,2495.6,2520.5,2528.8,33.2,2495.6,2490.4,2465.4,,
3,results-then-sankey,off,2926.0,false,2.424,0,0,0,0,0,0,0,2666.6,2633.3,2658.1,2666.6,33.3,2633.3,2625.3,2600.4,852.5,622.8
3,results-then-sankey,noop,2926.0,false,2.408,10448,0,0,0,0,0,0,2667.9,2634.6,2657.9,2667.9,33.3,2634.6,2624.2,2600.7,853.5,639.3
3,results-then-sankey,observe,2926.0,false,2.467,10448,1123,40.778,0.180,32.360,1.837,28.0,2667.4,2634.0,2658.0,2667.4,33.4,2634.0,2614.0,2589.8,853.1,731.8
3,results-then-sankey,enforce,2926.0,true,2.295,9779,1080,39.709,0.181,31.815,1.648,28.0,2529.0,2495.8,2520.5,2529.0,33.3,2495.8,2485.4,2460.7,852.5,729.3
4,cold-sankey,off,2926.0,false,1.606,0,0,0,0,0,0,0,2666.8,2633.5,2657.9,2666.8,33.3,2633.5,2625.1,2600.6,,
4,cold-sankey,noop,2926.0,false,1.640,5132,0,0,0,0,0,0,2666.9,2633.6,2658.0,2666.9,33.3,2633.6,2614.0,2589.6,,
4,cold-sankey,observe,2926.0,false,1.649,5132,787,26.862,0.257,21.743,1.569,25.0,2666.6,2633.4,2658.1,2666.6,33.3,2633.4,2625.3,2600.5,,
4,results-then-sankey,off,2926.0,false,2.326,0,0,0,0,0,0,0,2666.7,2633.2,2657.9,2666.5,33.3,2633.2,2613.9,2589.2,852.6,638.9
4,results-then-sankey,observe,2926.0,false,2.338,10448,1123,38.782,0.287,30.671,1.814,28.2,2666.8,2633.5,2657.9,2666.8,33.3,2633.5,2624.0,2599.6,852.8,730.4
5,cold-sankey,off,2926.0,false,1.639,0,0,0,0,0,0,0,2666.7,2633.5,2658.0,2666.7,33.3,2633.5,2613.9,2589.2,,
5,cold-sankey,noop,2926.0,false,1.616,5132,0,0,0,0,0,0,2667.1,2633.7,2657.9,2666.9,33.3,2633.7,2613.9,2589.6,,
5,cold-sankey,observe,2926.0,false,1.915,5132,787,38.875,0.561,34.981,2.136,24.9,2666.6,2633.4,2657.6,2666.6,33.2,2633.4,2624.8,2600.5,,
5,results-then-sankey,off,2926.0,false,2.328,0,0,0,0,0,0,0,2666.6,2633.3,2657.8,2666.6,33.3,2633.3,2623.9,2599.6,852.7,623.6
5,results-then-sankey,observe,2926.0,false,2.362,10448,1123,39.934,0.238,31.871,1.763,28.0,2666.8,2633.4,2658.1,2666.8,33.5,2633.4,2624.2,2599.4,852.3,622.4
6,cold-sankey,off,2926.0,false,1.617,0,0,0,0,0,0,0,2667.0,2633.7,2657.9,2667.0,33.4,2633.7,2624.1,2599.8,,
6,cold-sankey,noop,2926.0,false,1.829,5132,0,0,0,0,0,0,2666.8,2633.5,2657.8,2666.8,33.3,2633.5,2625.0,2600.7,,
6,cold-sankey,observe,2926.0,false,1.619,5132,787,27.101,0.198,21.736,1.796,24.8,2666.8,2633.6,2657.9,2666.8,33.2,2633.6,2624.0,2599.9,,
6,results-then-sankey,off,2926.0,false,2.426,0,0,0,0,0,0,0,2666.6,2633.3,2658.1,2666.6,33.2,2633.3,2625.2,2600.3,853.0,636.6
6,results-then-sankey,observe,2926.0,false,2.445,10448,1123,42.615,0.219,34.242,1.841,28.0,2666.9,2633.7,2658.1,2666.9,33.2,2633.7,2624.3,2599.7,852.5,731.1
7,cold-sankey,off,2926.0,false,1.621,0,0,0,0,0,0,0,2666.8,2633.5,2657.7,2666.8,33.3,2633.5,2613.7,2589.4,,
7,cold-sankey,noop,2926.0,false,1.579,5132,0,0,0,0,0,0,2667.4,2634.1,2658.0,2667.4,33.2,2634.1,2624.2,2600.3,,
7,cold-sankey,observe,2926.0,false,1.630,5132,787,28.499,0.372,23.163,1.739,24.8,2667.0,2633.8,2657.9,2667.0,33.3,2633.8,2625.1,2600.7,,
7,results-then-sankey,off,2926.0,false,2.512,0,0,0,0,0,0,0,2666.6,2633.4,2658.0,2666.6,33.3,2633.4,2613.9,2589.2,853.1,638.3
7,results-then-sankey,observe,2926.0,false,2.401,10448,1123,40.720,0.242,32.457,1.747,28.2,2667.4,2634.2,2658.1,2667.4,33.3,2634.2,2624.2,2600.3,852.6,636.2
